Facility ID,Name,Address,City,State,Zip,Location confidence,Purpose,Operator,Tenant,Location determination,Info source 1,Info source 2,Info source 3,Info source 4,Info source 5,Info source 6,Info source 7,Info source 8,Lat,Long,Date created,Date updated,SizeRank (numeric),Power source,Number of buildings,Cooling source,Facility size (sq ft),Cooling type,Property Size (acres),Project cost,Other info,Status,Status detail,Expected date online,County,Community push-back,Community group website,Information source
590,TX11: Vantage data center,14720 Omicron Drive,San Antonio,TX,78245,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-files-plans-for-san-antonio-data-center/,https://www.datacenterdynamics.com/en/news/vantage-buys-two-land-plots-in-san-antonio-texas/,,,,,,,29.418100,-98.789700,7/28/2025,7/28/2025,3,,,,"242,667",,58,$96 million,,Proposed,,2026,,,,Media Monitoring
592,TX12: Vantage data center,17420 Omicron Drive,San Antonio,TX,78245,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-files-to-build-second-san-antonio-data-center-in-texas/,,,,,,,,29.420260,-98.808700,9/23/2025,9/23/2025,4,,,,"432,800",,,,,Proposed,,2027,,,,Media Monitoring
604,TX21: Vantage data center,Intersection Hwy 151 and Wiseman Blvd,San Antonio,TX,78251,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-buys-two-land-plots-in-san-antonio-texas/,,,,,,,,29.476030,-98.697600,7/28/2025,10/16/2025,1,,,,"360,000",,31,$157 miillion,,Proposed,,2025,,,,Media Monitoring
598,TX22: Vantage data center,5207 Rogers Rd,San Antonio,TX,78251,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/vantage-files-to-build-another-data-center-in-san-antonio-texas/,https://www.datacenterdynamics.com/en/news/vantage-files-to-build-another-data-center-in-san-antonio-texas/,,,,,,,29.479109,-98.697109,10/16/2025,10/16/2025,1,,,,"214,525",,,$272 million,,Proposed,,2027,,,,Media Monitoring
607,Highlander SM One LLC,904 Francis Harris Ln,San Marcos,TX,78666,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/data-center-proposed-for-200-acre-site-in-san-marcos-texas/,https://www.datacenterdynamics.com/en/news/data-center-proposal-rejected-in-san-marcos-texas/,,,,,,,29.790310,-97.995200,8/21/2025,8/21/2025,1,,,,,,180,,,Suspended,,,,,,Media Monitoring
608,Project Kati (Soluna),near 5785 FM 1420,Santa Monica,TX,78965,Medium,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/soluna-to-develop-two-new-data-centers-in-texas-with-a-combined-capacity-of-350mw/,,,,,,,,26.377780,-97.587400,8/30/2025,8/30/2025,5,,,,,,50,,,Approved/Permitted/Under construction,,,,,,Media Monitoring
609,Oppidan data center,9879 N Loop Dr,Socorro,TX,79927,High,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/oppidan-files-for-5mw-data-center-in-el-paso-texas/,,,,,,,,31.677690,-106.289000,8/12/2025,8/12/2025,2,,,,"61,555",,,$27.1 million,,Proposed,,,,,,Media Monitoring
610,Data center,8306 Hwy 90 Alt,Sugar Land,TX,77478,High,,,,Google Maps and other sources,https://invest.jll.com/us/en/listings/special-purpose-facility/8-asset-switch-portfolio,,,,,,,,29.620030,-95.630600,5/27/2025,5/27/2025,1,,,,"38,370",,,,,Unknown,,,,,,Media Monitoring
611,MSB Global Services Matrix Data Center,,Sulphur Springs,TX,75482,High,,,,Google Maps and other sources,https://msbglobalservices.com/matrix-data-center-campus-breaks-ground-in-sulphur-springs-tx-a-new-era-for-net-zero-ai-infrastructure/,https://www.ketk.com/news/local-news/30-ai-data-centers-to-be-built-at-sulphur-springs-campus/,,,,,,,33.085150,-95.546000,9/23/2025,9/23/2025,5,,30,,,,1677,,Hyperscale facility,Proposed,,,,,,Media Monitoring
615,Meta Data Center,3103 Industrial Blvd,Temple,TX,76504,High,,Meta,,Google Maps and other sources,https://rbnenergy.com/i-know-places-tech-giants-may-be-the-surest-bets-for-data-center-power-demand,https://trerc.tamu.edu/news-talk/development-underway-on-metas-temple-data-center/,https://jedunn.com/projects/meta-temple-data-center/,,,,,,31.132520,-97.364400,8/14/2025,8/14/2025,5,,,,"900,000",,384,$800 million,,Approved/Permitted/Under construction,,,,,,Media Monitoring
613,Polmer Data Center,~3800 Industrial Blvd,Temple,TX,76502,High,,,,Google Maps and other sources,https://dgtlinfra.com/polmer-800m-temple-texas-data-center/,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007641,,,,,,,31.133910,-97.372300,8/5/2025,8/5/2025,1,,,,,,,,,Approved/Permitted/Under construction,,,,,,Media Monitoring
612,Rowan data center,~1601 Bob White Rd,Temple,TX,76501,High,,,,Google Maps and other sources,https://www.bizjournals.com/austin/news/2025/09/15/rowan-temple-data-center-campus-austin-market-meta.html,https://www.rowantemple.com/faqs,,,,,,,31.064450,-97.287500,9/17/2025,9/17/2025,1,,,,,,770,$1.2 billion,,Proposed,,,,,,Media Monitoring
614,Rowan Digital Infrastructure data center,2810 Bob White Rd,Temple,TX,76501,High,,,,Google Maps and other sources,https://www.rowantemple.com/faqs,https://www.datacentermap.com/usa/texas/austin/rowan-moriah-campus/,https://www.kcentv.com/video/news/local/700-million-data-center-coming-to-temple/500-f7b6d768-127b-4b2d-aacb-b83bf46572cb,,,,,,31.057450,-97.297900,9/23/2025,9/23/2025,5,,,,,,,$700 million,,Approved/Permitted/Under construction,,,,,,Media Monitoring
616,Data center,507 Olive St,Texarkana,TX,75501,High,,,,Google Maps and other sources,https://invest.jll.com/us/en/listings/special-purpose-facility/8-asset-switch-portfolio,,,,,,,,33.424800,-94.044000,5/27/2025,5/27/2025,1,,,,"67,500",,,,,Unknown,,,,,,Media Monitoring
617,Huge data center development,,"Texas panhandle, location unknown",TX,,Low,,,,Google Maps and other sources,https://www.datacenterdynamics.com/en/news/5000-acre-plot-listed-for-sale-for-data-center-development-in-the-texas-panhandle/,,,,,,,,35.480430,-101.622000,6/20/2025,6/20/2025,1,,,,,,5000,,,Proposed,,,,,,Media Monitoring
618,Data center,900 E County Rd 109,Venus,TX,76084,High,,,,Google Maps and other sources,https://cityofvenus.diligent.community/document/feb4f78c-9858-42f6-b202-88862555f9a3/,,,,,,,,32.431760,-97.086900,5/25/2025,5/25/2025,1,,,,,,217,,,Unknown,,,,,,Media Monitoring
619,Midlothian 1,Farm-to-Market 157,Venus,TX,76084,High,,,,Google Maps and other sources,https://8888cre.com/Data-center-land-for-sale-in-tax-incentive-zone-data-center-land-for-sale-with-power-substation-access-megawatt-powerline-near-Dallas-Texas-Fort-Worth-TX.pdf,,,,,,,,32.404900,-97.052200,5/25/2025,5/25/2025,1,,,,,,,,,Unknown,,,,,,Media Monitoring
