subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Meduxnekeag,1010005.0,1936076711.9,1010005,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.2774457113587591,ME,46.54422,-67.8111,WND,0.0,0.0038,0.0,303.0009198517198,0.0
West Branch Penobscot,1020001.0,5520935487.97,1020001,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1840669155773984,ME,45.647179,-68.704368,WAT,0.0,0.0,0.0,433678.7183273789,0.0
West Branch Penobscot,1020001.0,5520935487.97,1020001,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1840669155773984,ME,45.6072,-68.5453,WAT,0.0,12.49323189574096,0.0,433678.7183273789,0.0
East Branch Penobscot,1020002.0,2899615880.24,1020002,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.2852165930008933,,,,,,,,671996.7361343522,
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.2754273980593448,ME,46.058056,-68.147222,WND,0.0,0.0038,0.0,648932.4852754168,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.2754273980593448,ME,45.4822,-67.9944,WND,0.0,0.0038,0.0,648932.4852754168,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.2754273980593448,ME,45.61498,-67.971,WND,0.0,0.0038,0.0,648932.4852754168,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.2754273980593448,ME,46.058056,-68.147222,WND,0.0,0.0038,0.0,300.79670201293436,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.2754273980593448,ME,45.4822,-67.9944,WND,0.0,0.0038,0.0,300.79670201293436,0.0
Mattawamkeag,1020003.0,3911366037.77,1020003,New Brunswick System Operator,1031.1550270380067,30.10465678165555,30.84917728980288,1092.1088611094651,0.2754273980593448,ME,45.61498,-67.971,WND,0.0,0.0038,0.0,300.79670201293436,0.0
Piscataquis,1020004.0,3784873612.39,1020004,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.251691052468721,,,,,,,,593007.4544178807,
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.5738,-68.8046,NG,4294.28,0.797026152611596,0.4201428431660307,235609.2712082314,989895.4908170274
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.808333,-68.750833,NG,9356.865,0.797026152611596,0.31212439122022817,235609.2712082314,735394.0034171086
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,45.2537,-68.62792,WDS,1355.04,1.93755189619717,0.04639118080043822,235609.2712082314,109301.92298880545
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.8242,-68.7094,NG,104414.39,1.124049882166278,0.4445303060620639,235609.2712082314,1047354.6144125492
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.942064,-68.64504,WAT,0.0,20.04202740854017,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.884444,-68.663889,WAT,0.0,24.17704582886472,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.8803,-68.6647,WAT,0.0,10.01927408854167,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.7383,-68.8258,MSW,114945.324,1.93755189619717,0.9592926566685861,235609.2712082314,2260182.437130937
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.768611,-68.861667,LFG,0.001,1.93755189619717,1.403705586228862e-07,235609.2712082314,0.3307260501623054
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,45.1868,-68.4649,WAT,0.0,61.60979188900747,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,45.34598,-68.3802,WND,0.0,0.0038,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.912667,-68.683833,WAT,0.0,0.0,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,44.9094,-68.6833,WAT,0.0,79.36013276120262,0.0,235609.2712082314,0.0
Lower Penobscot,1020005.0,6202366353.66,1020005,ISO New England Inc.,1298151.5479056821,524289.2073183419,533651.9568582898,2356092.712082314,0.1,ME,45.2497,-68.6483,WAT,0.0,46.1878651833757,0.0,235609.2712082314,0.0
